samples,AIC,WAIC,10-fold-cv
1020.0,-725.2752223920613,-728.5354902602106,362.67038149926566
1030.0,-725.2716200486504,-728.5554633414306,362.8064013085427
1040.0,-725.2785441661584,-728.5435677114341,362.7047897593592
1050.0,-725.2834461058266,-728.5267844152054,362.64748692297474
1060.0,-725.2794071453735,-728.537938212604,362.60844378116377
1070.0,-725.2770304736376,-728.5647081428,362.72317616263484
1080.0,-725.280496467353,-728.5596181783171,362.71874145157176
1090.0,-725.2817172024398,-728.5662083370529,362.7044407484512
1100.0,-725.282091065774,-728.5841273306363,362.6694743703404
1110.0,-725.2834090059159,-728.6145786170564,362.74155364782376
1120.0,-725.2887337852359,-728.6217472753211,362.5052174598208
1130.0,-725.2875894397137,-728.6326343221623,362.49302416118945
1140.0,-725.2878360611987,-728.6394743940941,362.68704198100824
1150.0,-725.2869096324968,-728.6451264626929,362.6856772358394
1160.0,-725.2873258698476,-728.6412879340875,362.6698398015567
1170.0,-725.28829876721,-728.6304264437904,362.5889485544234
1180.0,-725.2885367946507,-728.6267672609109,362.6476735635285
1190.0,-725.2866622054279,-728.616943687615,362.5929062163837
1200.0,-725.2893332888862,-728.6322800326733,362.57702731180456
1210.0,-725.2918404193579,-728.5930114243827,362.64594762762636
1220.0,-725.2936166198608,-728.6168743182446,362.73249228910345
1230.0,-725.2897353402691,-728.6276921126722,362.68595235301325
1240.0,-725.2854102134638,-728.6400560893334,362.61521325522835
1250.0,-725.2866108221284,-728.667806786917,362.63940196136355
1260.0,-725.2853047932365,-728.6809331525094,362.6871509054005
1270.0,-725.287562007401,-728.6926476238324,362.6802170492187
1280.0,-725.2836097290669,-728.6904132266343,362.66151905109245
1290.0,-725.2867454133527,-728.7133015965493,362.60327802598334
1300.0,-725.2844336908146,-728.7208386769153,362.5238779401299
1310.0,-725.2844244488718,-728.7335193852432,362.7649929028464
1320.0,-725.2837403847092,-728.7053320140478,362.6501484402226
1330.0,-725.2838760981605,-728.7114473793692,362.64350122316824
1340.0,-725.2722926542347,-728.6964598040736,362.6290906895488
1350.0,-725.2714554719782,-728.6196576550379,362.52328611778205
1360.0,-725.2692095239802,-728.6371490752001,362.66122098055223
1370.0,-725.2691989217581,-728.5420273731412,362.7390905280919
1380.0,-725.2696116607904,-728.5497652970098,362.68844228282126
1390.0,-725.2695462511538,-728.5699115842532,362.6058316868679
1400.0,-725.2716807869658,-728.5884264629763,362.63219258880105
1410.0,-725.2676289335161,-728.5850797863477,362.6416617556148
1420.0,-725.2680637319269,-728.5693789562265,362.65702959089407
1430.0,-725.267823604368,-728.5745228161968,362.653676493015
1440.0,-725.2654940369835,-728.5761845018584,362.61721549648627
1450.0,-725.2669745693272,-728.5829148276073,362.6703796153353
1460.0,-725.266541381232,-728.5892331220778,362.51922649976893
1470.0,-725.2684959005207,-728.6052243321824,362.7062595481732
1480.0,-725.2697579168953,-728.6226173895018,362.6090525402516
1490.0,-725.2699629900386,-728.6288799033415,362.5876589386068
1500.0,-725.2654934754901,-728.6020663036312,362.66756940513017
1510.0,-725.2614906508148,-728.605921803144,362.7122641549648
1520.0,-725.2598088682016,-728.6266536359964,362.57701938041146
1530.0,-725.2608408019032,-728.627546922056,362.66492214181903
1540.0,-725.2599630456224,-728.6470671586738,362.6132132619917
1550.0,-725.257965665787,-728.6473238726508,362.5761738633439
1560.0,-725.2570589063868,-728.6553130600948,362.6453616711379
1570.0,-725.2565925383506,-728.6674870487435,362.64560031969324
1580.0,-725.2600755387496,-728.5645005667186,362.70422733891695
1590.0,-725.2626560270312,-728.5437971575169,362.5809020509157
1600.0,-725.2633344493051,-728.5514108107699,362.6820879205228
1610.0,-725.2620586604592,-728.5425012500375,362.56341984494964
1620.0,-725.2600640053365,-728.5445062683091,362.72117791838184
1630.0,-725.2598894100502,-728.4748275538019,362.5203860634228
1640.0,-725.260859982902,-728.4935896914344,362.6715907696452
1650.0,-725.2626645301059,-728.5104579708591,362.531900811181
1660.0,-725.260817648842,-728.514689959663,362.6819214992185
1670.0,-725.2602988782204,-728.534101640326,362.6072490999501
1680.0,-725.2605752599441,-728.5537982226857,362.7071253076028
1690.0,-725.260289882684,-728.5546632252716,362.69330050199846
1700.0,-725.2601856198235,-728.5370706737488,362.6593951488344
1710.0,-725.261773476619,-728.5477633893881,362.63736154195686
1720.0,-725.2637232712441,-728.5693140839113,362.683915042351
1730.0,-725.2603282064072,-728.5773707322594,362.6335073597244
1740.0,-725.2637343791034,-728.546710857731,362.53814961980135
1750.0,-725.2637891072602,-728.4567281239005,362.70834381153634
1760.0,-725.2639000329259,-728.4652314833879,362.64791499942936
